source_id,target_id
697491ea281ce290af405254,697491eb281ce290af40d349
697491e9281ce290af403774,697491ea281ce290af407daf
697491e9281ce290af403774,697491ea281ce290af405abf
697491e9281ce290af403788,697491ea281ce290af405c4d
697491e9281ce290af403795,697491eb281ce290af40bb09
697491e9281ce290af4037a5,697491ea281ce290af4087be
697491e9281ce290af4037a8,697491ea281ce290af4053a2
697491e9281ce290af4037b8,697491ea281ce290af4082a5
697491e9281ce290af4037b8,697491eb281ce290af4109ae
697491e9281ce290af4037bc,697491ea281ce290af4061b4
697491e9281ce290af4037d6,697491eb281ce290af40abb5
697491e9281ce290af4037d7,697491ea281ce290af406ece
697491e9281ce290af4037dd,697491eb281ce290af40e1f0
697491e9281ce290af4037dd,697491eb281ce290af40f72e
697491e9281ce290af4037e9,697491ea281ce290af4047a5
697491e9281ce290af4037f4,697491eb281ce290af40a0a6
697491e9281ce290af4037fe,697491ea281ce290af404459
697491e9281ce290af403804,697491ea281ce290af404128
697491e9281ce290af403805,697491eb281ce290af410918
697491e9281ce290af403805,697491ea281ce290af405d7a
697491e9281ce290af403805,697491ea281ce290af404f3a
697491e9281ce290af403808,697491ea281ce290af404916
697491e9281ce290af403813,697491e9281ce290af4038d5
697491e9281ce290af403827,697491ec281ce290af411356
697491e9281ce290af403827,697491eb281ce290af40a099
697491e9281ce290af403829,697491ea281ce290af4042be
697491e9281ce290af403829,697491ec281ce290af411b80
697491e9281ce290af403831,697491ea281ce290af4049bd
697491e9281ce290af403833,697491ea281ce290af4071ea
697491e9281ce290af40383c,697491eb281ce290af40ec71
697491e9281ce290af40383c,697491eb281ce290af40cadf
697491e9281ce290af40383e,697491ea281ce290af406699
697491e9281ce290af403845,697491ea281ce290af407e6a
697491e9281ce290af40384a,697491eb281ce290af411046
697491e9281ce290af40384b,697491ea281ce290af4057ae
697491e9281ce290af403853,697491ea281ce290af406dd6
697491e9281ce290af403853,697491ea281ce290af406521
697491e9281ce290af40385e,697491ec281ce290af41185e
697491e9281ce290af403861,697491eb281ce290af410875
697491e9281ce290af403865,697491eb281ce290af40b7d8
697491e9281ce290af40386c,697491ea281ce290af404873
697491e9281ce290af40386e,697491eb281ce290af411051
697491e9281ce290af403876,697491ea281ce290af405016
697491e9281ce290af40388a,697491eb281ce290af40ceef
697491e9281ce290af40388b,697491eb281ce290af40f8c8
697491e9281ce290af40388b,697491eb281ce290af410dfe
697491e9281ce290af40388d,697491eb281ce290af40dee9
697491e9281ce290af403893,697491ea281ce290af4050a9
697491e9281ce290af4038a1,697491ea281ce290af407f37
697491e9281ce290af4038ad,697491eb281ce290af40fe4d
697491e9281ce290af4038b2,697491eb281ce290af40e8ea
697491e9281ce290af4038b7,697491ea281ce290af407de9
697491e9281ce290af4038b7,697491eb281ce290af40cb0a
697491e9281ce290af4038c4,697491eb281ce290af40e7c5
697491e9281ce290af4038c4,697491ea281ce290af407bd0
697491e9281ce290af4038c4,697491eb281ce290af40fc3b
697491e9281ce290af4038c9,697491eb281ce290af4106d2
697491e9281ce290af4038c9,697491ea281ce290af4046fe
697491e9281ce290af4038c9,697491ea281ce290af404f2b
697491e9281ce290af4038c9,697491ec281ce290af411e3d
697491e9281ce290af4038cf,697491ea281ce290af4051ed
697491e9281ce290af4038cf,697491eb281ce290af40c56a
697491e9281ce290af4038d0,697491ea281ce290af409b21
697491e9281ce290af403911,697491ea281ce290af4080af
697491e9281ce290af403912,697491ea281ce290af408bc8
